Date : 2024-06-22 17:02:35
Directory : /Users/baoji/Documents/VUE/fc-admin
Total : 145 files,  13626 codes, 466 comments, 1168 blanks, all 15260 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/components/fcStatistic                                                             |          1 |        102 |          7 |         13 |        122 |
| src/components/fcTable                                                                 |          3 |        371 |         85 |         42 |        498 |
| src/components/fcTreeFilter                                                            |          1 |        174 |          7 |         25 |        206 |
| src/components/fcTrend                                                                 |          1 |         64 |          7 |         12 |         83 |
| src/components/fcUploadImg                                                             |          1 |        457 |          7 |         44 |        508 |
| src/components/fcUploadImgs                                                            |          1 |        345 |          7 |         36 |        388 |
| src/components/fcWangEditor                                                            |          1 |        167 |          7 |         20 |        194 |
| src/directives                                                                         |          9 |        252 |         56 |         30 |        338 |
| src/directives (Files)                                                                 |          1 |         31 |          0 |          4 |         35 |
| src/directives/modules                                                                 |          8 |        221 |         56 |         26 |        303 |
| src/layout                                                                             |         15 |      1,917 |          2 |        214 |      2,133 |
| src/layout (Files)                                                                     |          1 |        175 |          1 |         19 |        195 |
| src/layout/components                                                                  |          5 |        812 |          0 |         94 |        906 |
| src/layout/layoutDefault                                                               |          1 |         96 |          0 |          7 |        103 |
| src/layout/layoutDock                                                                  |          1 |         58 |          0 |          4 |         62 |
| src/layout/layoutHeader                                                                |          1 |         87 |          0 |          5 |         92 |
| src/layout/layoutMenu                                                                  |          1 |         72 |          0 |          4 |         76 |
| src/layout/other                                                                       |          2 |         66 |          0 |         12 |         78 |
| src/layout/views                                                                       |          3 |        551 |          1 |         69 |        621 |
| src/locale                                                                             |          3 |        134 |          0 |          5 |        139 |
| src/locale (Files)                                                                     |          1 |         28 |          0 |          3 |         31 |
| src/locale/lang                                                                        |          2 |        106 |          0 |          2 |        108 |
| src/models                                                                             |          4 |         80 |         34 |          9 |        123 |
| src/router                                                                             |          5 |        159 |         36 |         20 |        215 |
| src/router (Files)                                                                     |          2 |         87 |         34 |         17 |        138 |
| src/router/modules                                                                     |          3 |         72 |          2 |          3 |         77 |
| src/store                                                                              |          8 |        136 |          9 |         12 |        157 |
| src/store (Files)                                                                      |          2 |         19 |          0 |          2 |         21 |
| src/store/modules                                                                      |          3 |         44 |          0 |          5 |         49 |
| src/store/system                                                                       |          3 |         73 |          9 |          5 |         87 |
| src/style                                                                              |          6 |        891 |         23 |        203 |      1,117 |
| src/utils                                                                              |          6 |        230 |         58 |         14 |        302 |
| src/views                                                                              |         34 |      3,026 |          9 |        276 |      3,311 |
| src/views/about                                                                        |          1 |         86 |          0 |          4 |         90 |
| src/views/home                                                                         |          1 |        208 |          0 |         18 |        226 |
| src/views/login                                                                        |          6 |        872 |          0 |         98 |        970 |
| src/views/login (Files)                                                                |          3 |        645 |          0 |         73 |        718 |
| src/views/login/components                                                             |          3 |        227 |          0 |         25 |        252 |
| src/views/other                                                                        |          4 |        111 |          0 |         21 |        132 |
| src/views/setting                                                                      |          1 |         31 |          1 |          3 |         35 |
| src/views/userCenter                                                                   |          8 |        365 |          0 |         29 |        394 |
| src/views/userCenter (Files)                                                           |          1 |        121 |          0 |          8 |        129 |
| src/views/userCenter/components                                                        |          7 |        244 |          0 |         21 |        265 |
| src/views/vab                                                                          |         13 |      1,353 |          8 |        103 |      1,464 |
| src/views/vab/data                                                                     |          3 |        455 |          0 |         14 |        469 |
| src/views/vab/form                                                                     |          6 |        582 |          1 |         54 |        637 |
| src/views/vab/iconfont                                                                 |          1 |         63 |          0 |         10 |         73 |
| src/views/vab/table                                                                    |          3 |        253 |          7 |         25 |        285 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/baoji/Documents/VUE/fc-admin/README.md                                          | Markdown           |          0 |          0 |          1 |          1 |
| /Users/baoji/Documents/VUE/fc-admin/auto-imports.d.ts                                  | TypeScript         |          8 |          5 |          1 |         14 |
| /Users/baoji/Documents/VUE/fc-admin/components.d.ts                                    | TypeScript         |         85 |          5 |          2 |         92 |
| /Users/baoji/Documents/VUE/fc-admin/index.html                                         | HTML               |        151 |          0 |         13 |        164 |
| /Users/baoji/Documents/VUE/fc-admin/package-lock.json                                  | JSON               |      3,309 |          0 |          1 |      3,310 |
| /Users/baoji/Documents/VUE/fc-admin/package.json                                       | JSON               |         50 |          0 |          1 |         51 |
| /Users/baoji/Documents/VUE/fc-admin/public/img/no-widgets.svg                          | XML                |         54 |          1 |          3 |         58 |
| /Users/baoji/Documents/VUE/fc-admin/public/img/ver.svg                                 | XML                |        224 |          1 |         12 |        237 |
| /Users/baoji/Documents/VUE/fc-admin/src/App.vue                                        | vue                |         50 |          0 |          7 |         57 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/index.ts                                   | TypeScript         |         93 |         24 |         11 |        128 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/modules/auth.ts                            | TypeScript         |         17 |          5 |          5 |         27 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/modules/dashboard.ts                       | TypeScript         |          5 |          1 |          1 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/modules/table.ts                           | TypeScript         |         10 |          2 |          3 |         15 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/utils/axiosCancel.ts                       | TypeScript         |         25 |         16 |          6 |         47 |
| /Users/baoji/Documents/VUE/fc-admin/src/api/utils/models.ts                            | TypeScript         |         13 |          3 |          2 |         18 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/BugFill.vue                       | vue                |          7 |          0 |          1 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/BugLine.vue                       | vue                |          7 |          0 |          1 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/Code.vue                          | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/DownloadPlus.vue                  | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/FileExcel.vue                     | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/FilePpt.vue                       | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/FileWord.vue                      | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/KeyboardDown.vue                  | vue                |          6 |          0 |          0 |          6 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/KeyboardEnter.vue                 | vue                |          8 |          0 |          0 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/KeyboardEsc.vue                   | vue                |          8 |          0 |          0 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/KeyboardUp.vue                    | vue                |          6 |          0 |          0 |          6 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/Organization.vue                  | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/UploadPlus.vue                    | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/Vite.vue                          | vue                |          8 |          0 |          0 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/Vue.vue                           | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/Wechat.vue                        | vue                |          7 |          0 |          0 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/ZhiFuBao.vue                      | vue                |          8 |          0 |          0 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/assets/icons/index.ts                          | TypeScript         |         17 |          0 |          1 |         18 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcEcharts/config.ts                 | TypeScript         |         68 |          0 |          4 |         72 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcEcharts/index.vue                 | vue                |         71 |          7 |         16 |         94 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcIconSelect/config.ts              | TypeScript         |         10 |          1 |          4 |         15 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcIconSelect/index.vue              | vue                |        169 |          7 |         27 |        203 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcPasswordStrength/index.vue        | vue                |         96 |          7 |         19 |        122 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcQrCode/index.vue                  | vue                |         79 |          7 |          9 |         95 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcQuery/index.vue                   | vue                |         99 |          7 |         13 |        119 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcSelectFilter/index.vue            | vue                |        156 |          7 |         21 |        184 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcStatistic/index.vue               | vue                |        102 |          7 |         13 |        122 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/hooks.ts                    | TypeScript         |        112 |         69 |         15 |        196 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/index.vue                   | vue                |        226 |         12 |         24 |        262 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcTable/model.ts                    | TypeScript         |         33 |          4 |          3 |         40 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcTreeFilter/index.vue              | vue                |        174 |          7 |         25 |        206 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcTrend/index.vue                   | vue                |         64 |          7 |         12 |         83 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcUploadImg/index.vue               | vue                |        457 |          7 |         44 |        508 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcUploadImgs/index.vue              | vue                |        345 |          7 |         36 |        388 |
| /Users/baoji/Documents/VUE/fc-admin/src/components/fcWangEditor/index.vue              | vue                |        167 |          7 |         20 |        194 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/index.ts                            | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/auth.ts                     | TypeScript         |         38 |         13 |          9 |         60 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/copy.ts                     | TypeScript         |         30 |          5 |          3 |         38 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/debounce.ts                 | TypeScript         |         25 |          3 |          1 |         29 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/longpress.ts                | TypeScript         |         37 |         10 |          2 |         49 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/role.ts                     | TypeScript         |         16 |          5 |          3 |         24 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/throttle.ts                 | TypeScript         |         30 |          3 |          2 |         35 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/time.ts                     | TypeScript         |         23 |          6 |          4 |         33 |
| /Users/baoji/Documents/VUE/fc-admin/src/directives/modules/waterMarker.ts              | TypeScript         |         22 |         11 |          2 |         35 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/components/navMenu.vue                  | vue                |         35 |          0 |          4 |         39 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/components/sideM.vue                    | vue                |         91 |          0 |         15 |        106 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/components/tags.vue                     | vue                |        331 |          0 |         38 |        369 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/components/topbar.vue                   | vue                |         47 |          0 |          9 |         56 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/components/userbar.vue                  | vue                |        308 |          0 |         28 |        336 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/index.vue                               | vue                |        175 |          1 |         19 |        195 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/layoutDefault/index.vue                 | vue                |         96 |          0 |          7 |        103 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/layoutDock/index.vue                    | vue                |         58 |          0 |          4 |         62 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/layoutHeader/index.vue                  | vue                |         87 |          0 |          5 |         92 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/layoutMenu/index.vue                    | vue                |         72 |          0 |          4 |         76 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/other/404.vue                           | vue                |         61 |          0 |         10 |         71 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/other/empty.vue                         | vue                |          5 |          0 |          2 |          7 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/views/search.vue                        | vue                |        176 |          0 |         22 |        198 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/views/setting.vue                       | vue                |        249 |          0 |         33 |        282 |
| /Users/baoji/Documents/VUE/fc-admin/src/layout/views/tasks.vue                         | vue                |        126 |          1 |         14 |        141 |
| /Users/baoji/Documents/VUE/fc-admin/src/locale/index.ts                                | TypeScript         |         28 |          0 |          3 |         31 |
| /Users/baoji/Documents/VUE/fc-admin/src/locale/lang/en.ts                              | TypeScript         |         53 |          0 |          1 |         54 |
| /Users/baoji/Documents/VUE/fc-admin/src/locale/lang/zh-cn.ts                           | TypeScript         |         53 |          0 |          1 |         54 |
| /Users/baoji/Documents/VUE/fc-admin/src/main.ts                                        | TypeScript         |         22 |          2 |          3 |         27 |
| /Users/baoji/Documents/VUE/fc-admin/src/models/authModel.ts                            | TypeScript         |         36 |         14 |          5 |         55 |
| /Users/baoji/Documents/VUE/fc-admin/src/models/departmentModel.ts                      | TypeScript         |          9 |          1 |          1 |         11 |
| /Users/baoji/Documents/VUE/fc-admin/src/models/menu.d.ts                               | TypeScript         |         22 |         16 |          1 |         39 |
| /Users/baoji/Documents/VUE/fc-admin/src/models/tableModel.ts                           | TypeScript         |         13 |          3 |          2 |         18 |
| /Users/baoji/Documents/VUE/fc-admin/src/router/index.ts                                | TypeScript         |         71 |         23 |         15 |        109 |
| /Users/baoji/Documents/VUE/fc-admin/src/router/model.d.ts                              | TypeScript         |         16 |         11 |          2 |         29 |
| /Users/baoji/Documents/VUE/fc-admin/src/router/modules/1setting.ts                     | TypeScript         |         22 |          0 |          1 |         23 |
| /Users/baoji/Documents/VUE/fc-admin/src/router/modules/2about.ts                       | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/baoji/Documents/VUE/fc-admin/src/router/modules/system.ts                       | TypeScript         |         40 |          2 |          1 |         43 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/index.ts                                 | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/modules/auth.ts                          | TypeScript         |         18 |          0 |          1 |         19 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/modules/menu.ts                          | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/modules/search.ts                        | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/securels.ts                              | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/system/global.ts                         | TypeScript         |         22 |          9 |          1 |         32 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/system/keepAlive.ts                      | TypeScript         |         22 |          0 |          2 |         24 |
| /Users/baoji/Documents/VUE/fc-admin/src/store/system/viewTags.ts                       | TypeScript         |         29 |          0 |          2 |         31 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/app.scss                                 | SCSS               |        373 |          9 |         73 |        455 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/dark.scss                                | SCSS               |         30 |          6 |          7 |         43 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/fix.scss                                 | SCSS               |        219 |          3 |         57 |        279 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/media.scss                               | SCSS               |        114 |          1 |         30 |        145 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/pages.scss                               | SCSS               |        150 |          4 |         35 |        189 |
| /Users/baoji/Documents/VUE/fc-admin/src/style/style.scss                               | SCSS               |          5 |          0 |          1 |          6 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/color.ts                                 | TypeScript         |         22 |          4 |          2 |         28 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/compress.ts                              | TypeScript         |         48 |         19 |          4 |         71 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/encryption.ts                            | TypeScript         |         34 |          3 |          2 |         39 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/menuRoute.ts                             | TypeScript         |         55 |         22 |          5 |         82 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/time.ts                                  | TypeScript         |         44 |          6 |          0 |         50 |
| /Users/baoji/Documents/VUE/fc-admin/src/utils/uuid.ts                                  | TypeScript         |         27 |          4 |          1 |         32 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/about/index.vue                          | vue                |         86 |          0 |          4 |         90 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/home/index.vue                           | vue                |        208 |          0 |         18 |        226 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/components/commonPage.vue          | vue                |         29 |          0 |          3 |         32 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/components/passwordForm.vue        | vue                |        113 |          0 |         11 |        124 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/components/phoneForm.vue           | vue                |         85 |          0 |         11 |         96 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/index.vue                          | vue                |        358 |          0 |         52 |        410 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/resetPassword.vue                  | vue                |        121 |          0 |         11 |        132 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/login/userRegister.vue                   | vue                |        166 |          0 |         10 |        176 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/other/directive.vue                      | vue                |         50 |          0 |         10 |         60 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/other/full.vue                           | vue                |         10 |          0 |          4 |         14 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/other/keepAlive.vue                      | vue                |         22 |          0 |          4 |         26 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/other/layout.vue                         | vue                |         29 |          0 |          3 |         32 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/setting/menu.vue                         | vue                |         31 |          1 |          3 |         35 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/account.vue        | vue                |         40 |          0 |          3 |         43 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/logs.vue           | vue                |         35 |          0 |          3 |         38 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/password.vue       | vue                |         73 |          0 |          6 |         79 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/pushSettings.vue   | vue                |         23 |          0 |          2 |         25 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/setting.vue        | vue                |         27 |          0 |          3 |         30 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/space.vue          | vue                |         39 |          0 |          3 |         42 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/upToEnterprise.vue | vue                |          7 |          0 |          1 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/index.vue                     | vue                |        121 |          0 |          8 |        129 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/echarts.vue                     | vue                |        387 |          0 |          7 |        394 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/qrcode.vue                      | vue                |         37 |          0 |          5 |         42 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/statistic.vue                   | vue                |         31 |          0 |          2 |         33 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/editor.vue                      | vue                |         42 |          0 |          6 |         48 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/iconSelect.vue                  | vue                |         51 |          0 |         10 |         61 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/query.vue                       | vue                |        136 |          0 |          6 |        142 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/selectFilter.vue                | vue                |         83 |          0 |          5 |         88 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/treeFilter.vue                  | vue                |         61 |          0 |          8 |         69 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/uploadImg.vue                   | vue                |        209 |          1 |         19 |        229 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/iconfont/index.vue                   | vue                |         63 |          0 |         10 |         73 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/detail.vue                     | vue                |         16 |          0 |          2 |         18 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/index.vue                      | vue                |        133 |          5 |         13 |        151 |
| /Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/search.vue                     | vue                |        104 |          2 |         10 |        116 |
| /Users/baoji/Documents/VUE/fc-admin/src/vite-env.d.ts                                  | TypeScript         |          6 |          1 |          1 |          8 |
| /Users/baoji/Documents/VUE/fc-admin/tsconfig.json                                      | JSON with Comments |         42 |          2 |          0 |         44 |
| /Users/baoji/Documents/VUE/fc-admin/tsconfig.node.json                                 | JSON               |         10 |          0 |          1 |         11 |
| /Users/baoji/Documents/VUE/fc-admin/vite.config.ts                                     | TypeScript         |         61 |          1 |          3 |         65 |
| Total                                                                                  |                    |     13,626 |        466 |      1,168 |     15,260 |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
